"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\presentation\widgets\ride_history\missed_ride_history.dart", "Dart", 27, 0, 4, 31
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\presentation\widgets\ride_history\ride_history.dart", "Dart", 142, 0, 5, 147
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\presentation\widgets\ride_history\ride_history_item.dart", "Dart", 151, 0, 4, 155
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\presentation\widgets\settings_item.dart", "Dart", 68, 0, 4, 72
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\presentation\widgets\subscription_details\subscription_details.dart", "Dart", 219, 0, 3, 222
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\presentation\widgets\user_statistics.dart", "Dart", 32, 0, 4, 36
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\presentation\widgets\user_statistics_single_layout.dart", "Dart", 49, 0, 5, 54
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\sign_up\data\data_sources\remote_data_source.dart", "Dart", 72, 0, 8, 80
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\sign_up\data\model\complete_profile_converters.dart", "Dart", 113, 0, 19, 132
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\sign_up\data\repository_implementation\complete_profile_repository_implementation.dart", "Dart", 66, 2, 7, 75
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\sign_up\domain\enitity\student.dart", "Dart", 27, 0, 8, 35
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\sign_up\domain\enitity\town.dart", "Dart", 8, 0, 2, 10
